Waktu Gempa (UTC);Lintang;Bujur;Magnitudo;Kedalaman (Km);Wilayah;Status;Detail
26/10/2024 23:47;-8.97;109.93;3.3;11;Java-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vccn
26/10/2024 22:23;1.87;126.94;3.1;28;Northern Molucca Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vbzt
26/10/2024 22:16;21.87;121.44;4.8;10;Taiwan Region;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vbzn
26/10/2024 21:16;-2.95;119.38;2.3;10;Sulawesi-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vbxn
26/10/2024 21:11;-7.80;107.27;2.8;31;Java-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vbxj
26/10/2024 16:41;-10.58;120.54;2.7;17;Sumba Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vbol
26/10/2024 15:52;2.17;121.86;4.4;533;Celebes Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vbmv
26/10/2024 14:21;-8.42;119.98;4.5;178;Flores Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vbjw
26/10/2024 12:56;-7.24;129.22;4.7;181;Banda Sea;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vbha
26/10/2024 12:29;-8.58;118.37;3.5;117;Sumbawa Region-Indonesia;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vbgd
26/10/2024 08:35;40.96;84.03;5.2;15;Southern Xinjiang-China;Confirmed;https://inatews.bmkg.go.id/web/detail2?name=bmg2024vayl
